1722 Clio St,1722 Clio St,Short Term Rental Residential Owner,2,4,01/02/2024 11:59:59 PM,"(29.9422497506241, -90.0756091821487)",3679165.66,526677.01
628 Baronne St Apt 204,628 Baronne St Apt 204,Short Term Rental Commercial Owner,2,4,11/13/2023 11:59:59 PM,"(29.948233870762, -90.0734232796303)",3679834,528860.66
334 Carondelet St Unit 204,334 Carondelet St Unit 204,Short Term Rental Commercial Owner,1,2,08/25/2023 11:59:59 PM,"(29.9509843209015, -90.0713097830678)",3680492.28,529868.19
1666 N Claiborne Ave,1666 N Claiborne Ave,Short Term Rental Commercial Owner,4,8,11/14/2023 11:59:59 PM,"(29.9727775594953, -90.0638881425463)",3682754.68,537818.98
2221 Delachaise St,2221 Delachaise St,Short Term Rental Residential Owner,2,4,02/16/2023 11:59:59 PM,"(29.9338620251326, -90.0952765532294)",3672970.03,523559.09
1429 N Claiborne Ave Apt J,1429 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2,4,11/15/2023 11:59:59 PM,"(29.9703181280963, -90.0686491535333)",3681257.22,536907.97
301 Magazine St Apt 201,301 Magazine St Apt 201,Short Term Rental Commercial Owner,2,4,11/17/2023 11:59:59 PM,"(29.9504303913347, -90.0678512564408)",3681589.71,529678.84
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,03/21/2023 11:59:59 PM,"(29.9171698388745, -90.102039474674)",3670893.28,517466.12
337 Morgan St Apt B,337 Morgan St Apt B,Short Term Rental Commercial Owner,,,03/22/2023 11:59:59 PM,"(29.9545222352273, -90.0528494476073)",3686323.7,531219.56
1515 Calliope St Apt 201,1515 Calliope St Apt 201,Short Term Rental Commercial Owner,3,6,10/07/2023 11:59:59 PM,"(29.9419771752916, -90.0721996382078)",3680246.54,526589.76
CASA PELICAN LLC,712 PELICAN ST,4703 - BED & BREAKFAST INNS,,,,,,
1648 N Tonti St,1648 N Tonti St,Short Term Rental Residential Owner,2,4,09/29/2023 05:38:54 PM,"(29.977808200394, -90.0709160097594)",3680509.51,539623.73
4108 Laurel St,4108 Laurel St,Short Term Rental Residential Owner,3,6,08/01/2023 11:59:59 PM,"(29.9189090638201, -90.098101877847)",3672133.8,518111.99
1316 Frenchmen St,1316 Frenchmen St,Short Term Rental Residential Owner,1,2,11/14/2023 11:59:59 PM,"(29.9709216323911, -90.0584303483362)",3684490.12,537163.28
2709 Dryades St,2709 Dryades St,Short Term Rental Residential Owner,4,8,07/24/2023 08:26:51 AM,"(29.93386308623, -90.0873379043232)",3675484.38,523586.73
1824 Carondelet St Apt 102,1824 Carondelet St Apt 102,Short Term Rental Commercial Owner,4,8,01/04/2024 11:59:59 PM,"(29.93678907815, -90.0790055197401)",3678111.79,524679.52
1812 Carondelet St Unit 3,1812 Carondelet St Unit 3,Short Term Rental Commercial Owner,3,6,01/03/2024 11:59:59 PM,"(29.9368330672728, -90.0788169103925)",3678171.35,524696.17
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,,,03/24/2023 11:59:59 PM,"(29.9167399094097, -90.1071918538681)",3669262.8,517292.28
2363 N Villere St,2363 N Villere St,Short Term Rental Residential Owner,1,2,10/25/2023 03:53:59 PM,"(29.9719262377724, -90.0529637740574)",3686216.78,537547.89
3125 Toulouse St,3125 Toulouse St,Short Term Rental Residential Owner,2,4,10/23/2023 08:40:42 AM,"(29.9726291155319, -90.08829371808)",3675028.48,537680.22
6212 Spain St,6212 Spain St,Short Term Rental Residential Owner,1,2,11/17/2023 11:59:59 PM,"(30.0227777172931, -90.0577233309152)",3684504.04,556022.65
2036 Magazine St Apt 2,2036 Magazine St Apt 2,Short Term Rental Commercial Owner,3,6,03/20/2023 11:59:59 PM,"(29.9304079415996, -90.0752783544609)",3679317.71,522372.05
1126 Independence St,1126 Independence St,Short Term Rental Residential Owner,1,2,09/18/2023 09:04:06 AM,"(29.9669955208242, -90.0379380795209)",3690994.2,535808.37
301 Magazine St Apt 304,301 Magazine St Apt 304,Short Term Rental Commercial Owner,2,4,11/17/2023 11:59:59 PM,"(29.9504686358772, -90.0678961814974)",3681575.33,529692.59
3314 Carondelet St Unit A,3314 Carondelet St Unit A,Short Term Rental Residential Owner,1,2,09/11/2023 09:24:51 AM,"(29.9294552567188, -90.0910868791865)",3674314.37,521970.99
2249 St Claude Ave,2249 St Claude Ave,Short Term Rental Commercial Owner,3,6,11/14/2023 11:59:59 PM,"(29.9689363252531, -90.0551921852486)",3685523.39,536452.77
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1,2,03/24/2023 11:59:59 PM,"(29.9497416421647, -90.1280336736565)",3662534.33,529222.91
423 Alabo St Apt A,423 Alabo St Apt A,Short Term Rental Residential Owner,3,6,08/17/2023 11:59:59 PM,"(29.9542079683087, -90.0149498649133)",3698326.14,531241.38
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/24/2023 11:59:59 PM,"(29.9167322670229, -90.1072835892031)",3669233.77,517289.19
ROYAL RESIDENCE,2613 ROYAL ST,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS,,,,"(29.9648157302048, -90.0509601334773)",3686880.07241,534969.340806
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1,2,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
4110 Piedmont Dr,4110 Piedmont Dr,Short Term Rental Residential Owner,1,2,05/04/2023 11:59:59 PM,"(30.0000069456629, -90.0565938054072)",3684953.73,547746.28
3927 Eagle St,3927 Eagle St,Short Term Rental Residential Owner,1,2,06/29/2023 11:59:59 PM,"(29.9718858107843, -90.1142422770472)",3666816.03,537321.59
3412 Prytania St,3412 Prytania St,Short Term Rental Commercial Owner,4,8,05/04/2023 11:59:59 PM,"(29.9266152071781, -90.0911872950686)",3674293.76,520937.9
2260 St Claude Ave,2260 St Claude Ave,Short Term Rental Commercial Owner,5,10,05/04/2023 11:59:59 PM,"(29.9685699212186, -90.0549520686664)",3685600.9,536320.38
517 Port St Apt 2A,517 Port St Apt 2A,Short Term Rental Commercial Owner,1,2,04/29/2023 11:59:59 PM,"(29.9633860900035, -90.0507036831149)",3686967.09,534450.38
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Owner,3,6,05/04/2023 11:59:59 PM,"(29.9718178231718, -90.0491496120162)",3687424.79,537521.98
504 David St,504 David St,Short Term Rental Commercial Owner,5,10,04/06/2023 11:59:59 PM,"(29.9782538601549, -90.0981101065092)",3671898.56,539691.96
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1,2,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
428 Opelousas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2,4,05/04/2023 11:59:59 PM,"(29.9489492606497, -90.0513173889839)",3686831.51,529198.45
2558 Prentiss Ave,2558 Prentiss Ave,Short Term Rental Residential Owner,2,4,06/27/2023 11:59:59 PM,"(30.0170322943235, -90.0521619283327)",3686287.25,553953.02
503 N Salcedo St,503 N Salcedo St,Short Term Rental Commercial Owner,3,6,01/15/2023 11:59:59 PM,"(29.9717418191606, -90.0883823650299)",3675003.92,537357.26
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2,4,05/03/2023 11:59:59 PM,"(29.9281209496619, -90.0749614416878)",3679427.22,521541.52
2224 Marais St Apt 1A,2224 Marais St Apt 1A,Short Term Rental Residential Owner,2,4,07/18/2023 11:59:59 PM,"(29.9694938929712, -90.0559802498644)",3685271.62,536652.74
135 N Clark St,135 N Clark St,Short Term Rental Commercial Owner,3,6,06/30/2023 11:59:59 PM,"(29.9716928287293, -90.0945446966911)",3673053.1,537318.3
828 Girod St Apt 501,828 Girod St Apt 501,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9477354491475, -90.0733157664513)",3679870.04,528679.79
828 Girod St Apt 304,828 Girod St Apt 304,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476942196287, -90.0733724638612)",3679852.25,528664.6
828 Girod St Apt 603,828 Girod St Apt 603,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9477025588808, -90.0733099925197)",3679872,528667.85
828 Girod St Apt 303,828 Girod St Apt 303,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9477103063624, -90.0733695134786)",3679853.12,528670.46
2628 Elder St,2628 Elder St,Short Term Rental Residential Owner,2,4,05/09/2023 11:59:59 PM,"(29.9944806941943, -90.0487248151332)",3687466.89,545764.56
7810 Spruce St,7810 Spruce St,Short Term Rental Residential Owner,2,4,09/15/2023 10:18:59 AM,"(29.9510940706386, -90.1215591215645)",3664579.45,529736.33
828 Girod St Apt 503,828 Girod St Apt 503,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9477068959041, -90.0733263897616)",3679866.79,528669.37
HILTON NEW ORLEANS/ ST CHARLES AVENUE,200 SPECTRUM CENTER DR,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
1109 Erato St,1109 Erato St,Short Term Rental Residential Owner,1,2,05/24/2023 11:59:59 PM,"(29.939463194785, -90.0712777753281)",3680548.56,525678.8
710 Baronne St Apt 203,710 Baronne St Apt 203,Short Term Rental Commercial Owner,2,4,05/12/2023 11:59:59 PM,"(29.9475972158368, -90.0736498673357)",3679764.79,528628.36
326 S Broad St,326 S Broad St,Short Term Rental Commercial Owner,5,10,05/09/2023 11:59:59 PM,"(29.9631901668855, -90.0891507912107)",3674794.4,534244.91
1918 Louisiana Ave,1918 Louisiana Ave,Short Term Rental Commercial Owner,4,8,09/27/2023 11:59:59 PM,"(29.9313999632472, -90.0931785068193)",3673644.22,522670.98
710 Baronne St Apt 205,710 Baronne St Apt 205,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9475885418686, -90.0736170728614)",3679775.21,528625.32
828 Girod St Apt 305,828 Girod St Apt 305,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476757799916, -90.0733795490573)",3679850.08,528657.87
710 Baronne St Apt 202,710 Baronne St Apt 202,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476027218736, -90.0736648603982)",3679760.02,528630.31
972 Picheloup Pl,972 Picheloup Pl,Short Term Rental Residential Owner,1,2,05/11/2023 11:59:59 PM,"(29.9812440897811, -90.0924339365308)",3673683.76,540798.74
828 Girod St Apt 505,828 Girod St Apt 505,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9476729941164, -90.0733384700212)",3679863.1,528657
828 Girod St Apt 605,828 Girod St Apt 605,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476686570945, -90.0733220727844)",3679868.31,528655.48
223 S Broad St,223 S Broad St,Short Term Rental Commercial Owner,5,10,03/30/2023 11:59:59 PM,"(29.9643143433615, -90.0887446066836)",3674918.57,534655.1
1322 Governor Nicholls St,1322 Governor Nicholls St,Short Term Rental Residential Owner,1,2,05/12/2023 11:59:59 PM,"(29.9661285036008, -90.0670977838408)",3681765.23,535389.89
2640 St Ann St,2640 St Ann St,Short Term Rental Residential Owner,1,2,05/09/2023 11:59:59 PM,"(29.970884728751, -90.0819161362029)",3677054.55,537067.89
3663 Tchoupitoulas St,3663 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,05/12/2023 11:59:59 PM,"(29.9179985596601, -90.0918969398859)",3674102.93,517802.14
710 Baronne St Apt 206,710 Baronne St Apt 206,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9475841852321, -90.0735986233234)",3679781.07,528623.8
828 Girod St Apt 502,828 Girod St Apt 502,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9477188031456, -90.0733234921454)",3679867.66,528673.71
4221 Prytania St 2B,4221 Prytania St 2B,Short Term Rental Residential Owner,2,4,05/10/2023 11:59:59 PM,"(29.9252826602672, -90.1002624266296)",3671424.46,520422.29
710 Baronne St Apt 207,710 Baronne St Apt 207,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9475786398886, -90.0735795256619)",3679787.14,528621.85
2822 First St,2822 First St,Short Term Rental Residential Owner,2,4,05/08/2023 11:59:59 PM,"(29.9429614389938, -90.0904124572707)",3674474.71,526884.65
7022 Colapissa St,7022 Colapissa St,Short Term Rental Residential Owner,1,2,05/08/2023 11:59:59 PM,"(29.9566916814294, -90.1099468390455)",3668234.97,531810.91
828 Girod St Apt 506,828 Girod St Apt 506,Short Term Rental Commercial Owner,2,4,05/11/2023 11:59:59 PM,"(29.947657236472, -90.0733470686662)",3679860.44,528651.24
