Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1210 S Rampart St Unit 1B,1210 S Rampart St Unit 1B,Short Term Rental Residential Owner,2,4,06/27/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3678257.56,527166.18
1039 Constance St Apt 7,1039 Constance St Apt 7,Short Term Rental Commercial Owner,3,6,12/25/2023 11:59:59 PM,"(29.9417508962862, -90.0696737127543)",3681047.4,526516.29
1738 Henriette Delille St Apt E,1738 Henriette Delille St Apt E,Short Term Rental Commercial Owner,1,2,12/27/2023 11:59:59 PM,"(29.9681115360793, -90.0623578476182)",3683257.99,536127.61
2213 Chartres St,2213 Chartres St,Short Term Rental Commercial Owner,1,2,12/15/2023 11:59:59 PM,"(29.963716922785, -90.0558838852005)",3685325.55,534552.36
2213 Chartres St Apt 2,2213 Chartres St Apt 2,Short Term Rental Commercial Owner,1,2,12/20/2023 11:59:59 PM,"(29.9637506792249, -90.0558881588377)",3685324.06,534564.62
1039 Constance St Apt 5,1039 Constance St Apt 5,Short Term Rental Commercial Owner,2,4,12/25/2023 11:59:59 PM,"(29.9417328412448, -90.0695948438336)",3681072.45,526510
4018 Banks St,4018 Banks St,Short Term Rental Residential Owner,3,6,12/27/2023 11:59:59 PM,"(29.9712534317957, -90.1023693976008)",3670577.49,537131.82
4120 Eve St,4120 Eve St,Short Term Rental Commercial Owner,3,6,12/29/2023 11:59:59 PM,"(29.9528741103683, -90.1020558442651)",3670748.58,530449.46
1039 Constance St Apt 2,1039 Constance St Apt 2,Short Term Rental Commercial Owner,2,4,12/25/2023 11:59:59 PM,"(29.9417135352535, -90.0694916773699)",3681105.2,526503.34
1039 Constance St Apt 4,1039 Constance St Apt 4,Short Term Rental Commercial Owner,3,6,12/25/2023 11:59:59 PM,"(29.9417304528868, -90.0695580566181)",3681084.11,526509.26
5206 Burgundy St,5206 Burgundy St,Short Term Rental Residential Owner,2,4,12/23/2023 11:59:59 PM,"(29.9599293578492, -90.0209935199188)",3696388.55,533299.91
1039 Constance St Apt 6,1039 Constance St Apt 6,Short Term Rental Commercial Owner,3,6,12/25/2023 11:59:59 PM,"(29.9417423679074, -90.0696332773298)",3681060.24,526513.33
1738 Henriette Delille St Apt C,1738 Henriette Delille St Apt C,Short Term Rental Commercial Owner,1,2,12/27/2023 11:59:59 PM,"(29.9681115360793, -90.0623578476182)",3683257.99,536127.61
625 Webster St,625 Webster St,Short Term Rental Residential Owner,2,4,12/05/2023 05:56:45 PM,"(29.921485811251, -90.1237727985385)",3663992.1,518962.24
1738 Henriette Delille St Apt A,1738 Henriette Delille St Apt A,Short Term Rental Commercial Owner,1,2,12/27/2023 11:59:59 PM,"(29.9681115360793, -90.0623578476182)",3683257.99,536127.61
1039 Constance St Apt 3,1039 Constance St Apt 3,Short Term Rental Commercial Owner,2,4,12/25/2023 11:59:59 PM,"(29.941719914588, -90.0695202358865)",3681096.13,526505.56
1039 Constance St Apt 8,1039 Constance St Apt 8,Short Term Rental Commercial Owner,2,4,12/25/2023 11:59:59 PM,"(29.9417609432397, -90.0697119186454)",3681035.26,526519.81
2211 Chartres St,2211 Chartres St,Short Term Rental Commercial Owner,1,2,12/15/2023 11:59:59 PM,"(29.963711742864, -90.0559253566591)",3685312.44,534550.33
1039 Constance St Apt 1,1039 Constance St Apt 1,Short Term Rental Commercial Owner,2,4,12/25/2023 11:59:59 PM,"(29.9417066392387, -90.0694637253419)",3681114.08,526500.93
3244 Annunciation St,3244 Annunciation St,Short Term Rental Residential Owner,1,2,12/27/2023 11:59:59 PM,"(29.9206693501435, -90.0860003847284)",3675960.23,518793.62
2247 St Claude Ave,2247 St Claude Ave,Short Term Rental Commercial Owner,3,6,03/23/2023 11:59:59 PM,"(29.9689344264277, -90.0552316902256)",3685510.89,536451.94
1041 Tchoupitoulas St,1041 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/23/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3681786.51,526218.84
1036 Clouet St,1036 Clouet St,Short Term Rental Commercial Owner,2,4,09/29/2023 11:59:59 PM,"(29.9671716913789, -90.0444448766387)",3688933.32,535849.2
2821 Palmyra St,2821 Palmyra St,Short Term Rental Residential Owner,2,4,09/27/2023 02:15:46 PM,"(29.9652152549844, -90.0907047307185)",3674294.39,534975.97
